,ROAD,COUNTY,DEMARCATION,ALLOWED_SPEED,TERRAIN,SPECIAL_FUNCTION,TRACK_TRAJECTORIES,AREA_CLASSIFICATION,ROAD_OWNERSHIP
0,LV-3021,Noguera,Lleida,Not specified,Plane,No special function,Double way,Road,Provincial
1,GIP-5101,Alt Emporda,Girona,50.0,Disassembled,No special function,Double way,Road,Provincial
2,C-1413A,Bergueda,Barcelona,Not specified,Not specified,No special function,Double way,Road,Autonomous
3,CR19,Garrotxa,Girona,100.0,Plane,No special function,Double way,Road,Others
4,TV-3316,Montsia,Tarragona,100.0,Plane,No special function,Double way,Road,Provincial
5,CR08,Barcelones,Barcelona,60.0,Not specified,Crossing,Double way,Road,Autonomous
6,TV-3541,Baix Ebre,Tarragona,100.0,Disassembled,No special function,Double way,Road,Provincial
7,GIV-5235,Garrotxa,Girona,Not specified,Disassembled,No special function,Double way,Road,Provincial
8,GIP-6021,Alt Emporda,Girona,30.0,Plane,No special function,Double way,Road,Provincial
9,TV-3223,Priorat,Tarragona,Not specified,Disassembled,No special function,Double way,Road,Autonomous
10,GIV-5241,Garrotxa,Girona,100.0,Plane,No special function,Double way,Road,Provincial
11,GIV-5043,Alt Emporda,Girona,100.0,Embankment,No special function,Double way,Road,Provincial
12,T-224,Conca de Barbera,Tarragona,100.0,Disassembled,No special function,Double way,Road,Provincial
13,T-344,Montsia,Tarragona,100.0,Mixed,No special function,Double way,Road,Autonomous
14,T-315,Baix Camp,Tarragona,70.0,Mixed,No special function,One way,Road,Autonomous
15,T-742,Alt Camp,Tarragona,100.0,Embankment,No special function,Double way,Road,Provincial
16,GIV-5343,Selva,Girona,100.0,Plane,No special function,Double way,Road,Provincial
17,LV-5052,Val d'Aran,Lleida,100.0,Plane,No special function,Double way,Road,Provincial
18,LV-3002,Solsones,Lleida,100.0,Mixed,No special function,Double way,Road,Provincial
19,L-902,Segria,Lleida,100.0,Mixed,No special function,Double way,Road,Provincial
20,CR12,Maresme,Barcelona,100.0,Mixed,No special function,Double way,Road,Municipal
